chunk,chunk_size,local_tokens,context_len,case,cache,timing,mean_us,median_us,queries_per_second,p05_us,p95_us,l2_flush_bytes,speedup_vs_trtllm
0,65536,1024,65536,flashmla-prefill/native,cold,cuda-event,248.52447926998138,248.35200607776642,4123179.9016729305,247.80799448490143,249.9231956899166,268435456,0.8174848399084613
0,65536,1024,65536,flashmla-decode/native,cold,cuda-event,363.4019201993942,363.48798871040344,2817149.4844519794,362.7200126647949,364.54400420188904,268435456,0.5585439030591476
0,65536,2048,65536,trtllm/native,warm,cuda-event,409.2572811245918,405.2800089120865,5053296.375258057,403.8384050130844,416.2943884730339,0,1.0
0,65536,2048,65536,flashmla-prefill/native,warm,cuda-event,515.8067184686661,514.5279765129089,3980347.2182014924,512.3839974403381,522.8480100631714,0,0.7876734160478025
0,65536,2048,65536,flashmla-decode/native,warm,cuda-event,741.178879737854,739.8399710655212,2768166.198225895,739.358377456665,742.9104179143906,0,0.5477941511167613
0,65536,2048,65536,trtllm/native,cold,cuda-event,405.6723204255104,405.5359959602356,5050106.575991381,403.8384050130844,407.584011554718,268435456,1.0
0,65536,2048,65536,flashmla-prefill/native,cold,cuda-event,505.64191848039627,508.87998938560486,4024524.529786774,497.66240417957306,513.8960003852844,268435456,0.7969187321550187
0,65536,2048,65536,flashmla-decode/native,cold,cuda-event,740.3359985351562,740.0799989700317,2767268.4072670504,739.3903821706772,741.4111912250519,268435456,0.5479623777491885
0,65536,4096,65536,trtllm/native,warm,cuda-event,836.3622379302979,830.7679891586304,4930377.738974115,805.6864112615585,856.598424911499,0,1.0
0,65536,4096,65536,flashmla-prefill/native,warm,cuda-event,1044.1744077205658,1041.152000427246,3934103.7603723276,1036.2864196300507,1063.6208355426788,0,0.797931511266095
0,65536,4096,65536,flashmla-decode/native,warm,cuda-event,1507.3615968227386,1506.8320035934448,2718285.7745468575,1503.774356842041,1512.9312098026276,0,0.5513341813668952
0,65536,4096,65536,trtllm/native,cold,cuda-event,859.7190415859222,862.3839914798737,4749624.344221831,843.2191759347916,874.0367889404297,268435456,1.0
0,65536,4096,65536,flashmla-prefill/native,cold,cuda-event,1057.3030412197113,1052.4320006370544,3891937.9090721523,1049.499237537384,1073.0623841285706,268435456,0.8194201534710636
0,65536,4096,65536,flashmla-decode/native,cold,cuda-event,1696.0096049308777,1507.9039931297302,2716353.3080766946,1504.7199487686157,1514.6432518959045,268435456,0.5719090840060398
0,65536,8192,65536,trtllm/native,warm,cuda-event,1711.6556823253632,1734.8159551620483,4722114.744001642,1608.0496549606323,1747.892814874649,0,1.0
0,65536,8192,65536,flashmla-prefill/native,warm,cuda-event,2149.31937456131,2145.616054534912,3818017.665688894,2106.204879283905,2198.0528354644775,0,0.8085397904696842
0,65536,8192,65536,flashmla-decode/native,warm,cuda-event,3107.9043221473694,3102.1440029144287,2640754.262956107,3098.7727761268616,3132.5103640556335,0,0.5592312779587951
0,65536,8192,65536,trtllm/native,cold,cuda-event,1745.6620800495148,1755.616009235382,4666168.431425865,1704.8624217510223,1777.0895779132843,268435456,1.0
0,65536,8192,65536,flashmla-prefill/native,cold,cuda-event,2148.0611181259155,2147.952079772949,3813865.3451086027,2133.3566904067993,2151.907217502594,268435456,0.8173441231617051
0,65536,8192,65536,flashmla-decode/native,cold,cuda-event,3106.996488571167,3102.720022201538,2640264.00751021,3099.6016025543213,3133.7440729141235,268435456,0.5658312695547963
3,8192,512,32768,trtllm/native,warm,cuda-event,128.03679808974266,127.45599448680878,4017072.7321341494,127.00640559196472,127.78079733252525,0,1.0
3,8192,512,32768,flashmla-prefill/native,warm,cuda-event,157.51744017004967,157.6159968972206,3248401.24149244,156.25600516796112,158.2079976797104,0,0.8086488490753969
3,8192,512,32768,flashmla-decode/native,warm,cuda-event,213.87807920575142,213.59999477863312,2397003.803912155,213.1823994219303,215.16799926757812,0,0.5967041086255611
3,8192,512,32768,trtllm/native,cold,cuda-event,130.1673610508442,129.82400506734848,3943800.6841214844,129.34240102767944,131.16799294948578,268435456,1.0
3,8192,512,32768,flashmla-prefill/native,cold,cuda-event,159.91839945316315,159.85599905252457,3202882.6133185653,159.58400070667267,160.44799983501434,268435456,0.8121309543390465
3,8192,512,32768,flashmla-decode/native,cold,cuda-event,214.95520055294037,214.91200476884842,2382370.4057420557,213.94720450043678,216.09599888324738,268435456,0.6040798195846829
3,8192,1024,32768,trtllm/native,warm,cuda-event,216.68671935796738,215.82400053739548,4744606.70476995,215.3263933956623,217.43999421596527,0,1.0
3,8192,1024,32768,flashmla-prefill/native,warm,cuda-event,269.4588804244995,269.1200077533722,3804993.9450745606,268.5423895716667,270.65759003162384,0,0.8019619289517173
3,8192,1024,32768,flashmla-decode/native,warm,cuda-event,402.388479411602,400.2560079097748,2558362.5973475175,399.55038875341415,410.4016035795212,0,0.5392148931492023
3,8192,1024,32768,trtllm/native,cold,cuda-event,217.7628806233406,217.56799519062042,4706574.600289122,217.11840629577637,219.16800737380981,268435456,1.0
3,8192,1024,32768,flashmla-prefill/native,cold,cuda-event,272.44255900382996,272.41599559783936,3758956.950206788,271.22720777988434,273.09280782938004,268435456,0.7986608668597067
3,8192,1024,32768,flashmla-decode/native,cold,cuda-event,400.6428796052933,400.41598677635193,2557340.4504749314,399.77601170539856,401.88961178064346,268435456,0.5433549168258877
3,16384,512,65536,trtllm/native,warm,cuda-event,128.13823893666267,127.45599448680878,4017072.7321341494,127.00640559196472,128.77599745988846,0,1.0
3,16384,512,65536,flashmla-prefill/native,warm,cuda-event,157.39936023950577,157.53600001335144,3250050.781768022,156.22239783406258,158.2079976797104,0,0.8090594814899875
3,16384,512,65536,flashmla-decode/native,warm,cuda-event,215.02847984433174,215.29600024223328,2378121.281509828,213.72799575328827,215.83999693393707,0,0.5920035409083579
3,16384,512,65536,trtllm/native,cold,cuda-event,132.01471999287605,131.71200454235077,3887269.059331423,131.1040073633194,133.15199315547943,268435456,1.0
3,16384,512,65536,flashmla-prefill/native,cold,cuda-event,161.32095977663994,161.76000237464905,3165182.940676319,160.16000509262085,162.1440052986145,268435456,0.8142433395697861
3,16384,512,65536,flashmla-decode/native,cold,cuda-event,215.81760063767433,216.0000056028366,2370370.3088851967,215.22879973053932,216.23199954628944,268435456,0.609777782990118
3,16384,1024,65536,trtllm/native,warm,cuda-event,216.43296018242836,215.68000316619873,4747774.411014479,215.07200598716736,217.40800142288208,0,1.0
3,16384,1024,65536,flashmla-prefill/native,warm,cuda-event,269.34592068195343,269.0240144729614,3806351.644874879,268.48000288009644,270.7520127296448,0,0.8017128269709762
3,16384,1024,65536,flashmla-decode/native,warm,cuda-event,408.9999997615814,412.23999857902527,2483989.917353209,402.67359614372253,414.27680999040604,0,0.523190384022994
3,16384,1024,65536,trtllm/native,cold,cuda-event,220.76479867100716,221.15199267864227,4630299.675788961,219.19840052723885,222.3791942000389,268435456,1.0
3,16384,1024,65536,flashmla-prefill/native,cold,cuda-event,272.598719894886,272.5279927253723,3757412.182725352,271.6096118092537,273.51521104574203,268435456,0.8114835854733577
3,16384,1024,65536,flashmla-decode/native,cold,cuda-event,402.07455962896347,401.91999077796936,2547770.759095392,401.40638798475266,403.425595164299,268435456,0.5502388479124248
